N,Task 1,Task 2,Task 3a,Task 3b
5000,1.79931,0.07782,0.090868,6.76761
10000,6.9869,0.137009,0.138043,29.0665
15000,15.6381,0.184816,0.186481,58.7788
20000,27.6903,0.234323,0.234326,107.069
25000,43.4633,0.288666,0.294362,174.721
