M,Task 1,Task 2,Task 3a,Task 3b
20,11.1697,0.111088,0.116349,43.6216
40,22.1381,0.1966,0.180175,85.5608
60,33.1991,0.27859,0.284525,132.943
80,44.601,0.356676,0.37116,181.798
100,55.6072,0.440223,0.431634,219.007
