M,Task 5,Task 6A,Task 6B
20,0.967486,4.47352,0.008589
40,1.92032,8.87171,0.012738
60,2.86068,13.2699,0.01029
80,3.79907,17.7226,0.019111
100,4.7595,22.2215,0.021469
