N,Task 5,Task 6A,Task 6B
500,0.304481,1.28504,0.00531
1000,1.10305,4.94295,0.010021
1500,2.38649,11.1031,0.013758
2000,4.17593,19.7289,0.016883
2500,6.53405,30.7054,0.017471
